iter	RMSE
203	186.5712217
204	186.4300383
205	186.1794006
206	185.8923954
207	185.6647251
208	185.3455748
209	185.1018307
210	184.9170923
211	184.7562416
212	184.6473258
213	184.3446397
214	184.1915693
215	183.993397
216	183.8658261
217	183.5234685
218	183.2770832
219	182.9765633
220	182.8143746
221	182.6758259
222	182.4318545
223	182.2469688
224	182.0007611
225	181.8377696
226	181.704732
227	181.5594327
228	181.4375321
229	181.247438
230	181.0301644
231	180.8219863
232	180.5925797
233	180.4586733
234	180.2442802
235	180.0852453
236	179.7626486
237	179.6082199
238	179.2970762
239	179.1208171
240	178.948692
241	178.688891
242	178.4390635
243	178.2659519
244	177.9340191
245	177.8037417
246	177.6497484
247	177.4131076
248	177.3079249
249	177.1580705
250	177.0335838
251	176.8158087
252	176.7006173
253	176.5480715
254	176.4097593
255	176.2793738
256	176.1557624
257	175.9386651
258	175.7664052
259	175.4694354
260	175.3536221
261	175.2097982
262	174.9981695
263	174.8124408
264	174.6342232
265	174.3883837
266	174.211737
267	174.1174314
268	173.9365256
269	173.7051023
270	173.5603561
271	173.4397336
272	173.2068505
273	173.0881874
274	172.9417309
275	172.871008
276	172.7433574
277	172.539124
278	172.3570976
279	172.3497959
280	172.1693161
281	171.9057151
282	171.7922802
283	171.6581949
284	171.5797189
285	171.4637556
286	171.2349417
287	171.1459959
288	170.9998148
289	170.8916044
290	170.7744706
291	170.6396056
292	170.5244892
293	170.3263554
294	170.1168385
295	169.934746
296	169.7386983
297	169.6599439
298	169.4694692
299	169.3280163
300	169.131558
301	169.0663418
302	168.8448411
303	168.7603889
304	168.3727106
305	168.3150973
306	168.140706
307	168.0629467
308	167.8700885
309	167.6648208
310	167.5123806
311	167.3968229
312	167.2433617
313	166.9004316
314	166.763242
315	166.55197
316	166.3730927
317	166.3153011
318	166.2128723
319	166.1131073
320	165.8625748
321	165.7728418
322	165.6040416
323	165.4688945
324	165.2768194
325	165.1663887
326	165.0164867
327	164.8015875
328	164.645306
329	164.5639291
330	164.4213363
331	164.3449078
332	164.2243697
333	164.1167428
334	163.9605871
335	163.8729398
336	163.7511093
337	163.5813616
338	163.3075716
339	163.2321561
340	163.082369
341	163.018636
342	162.873721
343	162.7596646
344	162.6422253
345	162.3988169
346	162.2378389
347	162.1466949
348	162.0690476
349	161.919722
350	161.6973271
351	161.4757594
352	161.2614753
353	161.1020831
354	161.0195398
355	160.8659401
356	160.7323415
357	160.6356667
358	160.4239375
359	160.269848
360	160.1871555
361	159.9990311
362	159.8677702
363	159.7233184
364	159.5564415
365	159.4956507
366	159.3830588
367	159.2842913
368	159.1712306
369	159.095082
370	158.9995106
371	158.8327332
372	158.7341261
373	158.6266993
374	158.517354
375	158.4183794
376	158.2825831
377	158.2005471
378	158.0757331
379	157.9918582
380	157.839585
381	157.633861
382	157.5494355
383	157.4579239
384	157.2334101
385	157.1430587
386	156.9868027
387	156.8652123
388	156.7816913
389	156.6672511
390	156.5620567
391	156.479898
392	156.3897412
393	156.1512973
394	156.0095994
395	155.8775874
396	155.7836859
397	155.6814055
398	155.583073
399	155.4568321
400	155.3985973
401	155.3229406
402	155.1860202
403	155.0025954
404	154.8690111
405	154.7129135
406	154.6473548
407	154.5586713
408	154.3914938
409	154.2721695
410	154.1458042
411	154.015593
412	153.8667528
413	153.8014044
414	153.6802442
415	153.5969996
416	153.4861985
417	153.3451129
418	153.2638737
419	153.1536722
420	153.075149
421	152.9504928
422	152.8442799
423	152.7357221
424	152.5960064
425	152.5330897
426	152.4099679
427	152.2765595
428	152.1494336
429	152.0731679
430	151.894645
431	151.8286555
432	151.7574044
433	151.6227262
434	151.5472877
435	151.4021102
436	151.3253948
437	151.2282429
438	151.1466221
439	151.0618263
440	150.8127157
441	150.7137564
442	150.6155762
443	150.5161818
444	150.4732107
445	150.3636057
446	150.272599
447	150.1511332
448	150.0875179
449	150.0102502
450	149.9360616
451	149.7712141
452	149.7188247
453	149.5965751
454	149.3790281
455	149.24704
456	149.1331039
457	148.9973148
458	148.9103676
459	148.7547437
460	148.6832214
461	148.5937879
462	148.5282076
463	148.4263648
464	148.3470704
465	148.2466923
466	148.1683075
467	148.0689838
468	147.9217439
469	147.7617983
470	147.6764397
471	147.5903277
472	147.4827491
473	147.4361167
474	147.3218297
475	147.2098738
476	147.1344092
477	147.0141305
478	146.9393232
479	146.8365458
480	146.7786799
481	146.723094
482	146.6573303
483	146.5900899
484	146.5503393
485	146.4500063
486	146.3011266
487	146.1946048
488	146.1181575
489	146.0470522
490	145.9440178
491	145.8323179
492	145.6919797
493	145.6293019
494	145.5472338
495	145.4410146
496	145.3912623
497	145.2518278
498	145.189492
499	145.1061359
500	145.0199246
501	144.95348
502	144.8109253
503	144.7620231
504	144.6819784
505	144.6311217
506	144.5176461
507	144.4751906
508	144.4030699
509	144.354208
510	144.2375019
511	144.1645648
512	144.1229489
513	144.0695362
514	143.9970457
515	143.9089263
516	143.8394676
517	143.7465327
518	143.6430469
519	143.5820703
520	143.5088433
521	143.4573747
522	143.3562707
523	143.2736252
524	143.1563767
525	143.0518642
526	142.983903
527	142.9647509
528	142.8637216
529	142.7511541
530	142.6429798
531	142.6365169
532	142.5605655
533	142.4830631
534	142.3419931
535	142.283645
536	142.205414
537	142.1158982
538	142.0052415
539	141.9227459
540	141.8181243
541	141.7311681
542	141.6684354
543	141.5317387
544	141.4626369
545	141.3436529
546	141.2887354
547	141.2275189
548	141.172324
549	141.1107484
550	141.0233245
551	141.0174185
552	140.965424
553	140.9596697
554	140.8351238
555	140.8123459
556	140.7444495
557	140.6547242
558	140.5664402
559	140.4510455
560	140.3984363
561	140.3318889
562	140.3261257
563	140.2489422
564	140.1392394
565	140.1336125
566	140.0943088
567	139.9592399
568	139.84744
569	139.8099036
570	139.805328
571	139.6751436
572	139.6268585
573	139.5651591
574	139.4884374
575	139.4339763
576	139.3975522
577	139.3082801
578	139.2512589
579	139.2120977
580	139.20244
581	139.1080429
582	139.0781204
583	139.0236206
584	138.9262852
585	138.9102831
586	138.8235368
587	138.7381972
588	138.6617378
589	138.5979967
590	138.531754
591	138.4575048
592	138.3317061
593	138.2708802
594	138.2660236
595	138.1680974
596	138.1148087
597	138.0460218
598	137.9709632
599	137.8872478
600	137.8200203
601	137.7064863
602	137.6532008
603	137.5812744
604	137.5117347
605	137.4529767
606	137.4414996
607	137.3365795
608	137.2524225
609	137.2412653
610	137.2032084
611	137.1351974
612	137.0348833
613	136.9939186
614	136.9392228
615	136.8898021
616	136.8852009
617	136.8030008
618	136.6984984
619	136.6615614
620	136.5941693
621	136.516565
622	136.4037633
623	136.3556187
624	136.2805076
625	136.2348483
626	136.1722638
627	136.0915885
628	136.0776278
629	136.0130645
630	135.9649051
631	135.9264704
632	135.8523141
633	135.7441947
634	135.6864882
635	135.6437617
636	135.5974732
637	135.5090259
638	135.5008866
639	135.4562808
640	135.4023732
641	135.3213293
642	135.2861239
643	135.2390415
644	135.1923594
645	135.114754
646	135.0956026
647	135.04774
648	134.9457189
649	134.8524828
650	134.7626315
651	134.7079914
652	134.6763199
653	134.600333
654	134.5566196
655	134.4799795
656	134.4260551
657	134.3907405
658	134.3434796
659	134.2909607
660	134.2198427
661	134.1120436
662	134.0123363
663	133.9065412
664	133.8701409
665	133.7855545
666	133.7812246
667	133.7438497
668	133.6679631
669	133.590633
670	133.5437497
671	133.5059224
672	133.4563933
673	133.4415982
674	133.32746
675	133.2712988
676	133.2282613
677	133.1819478
678	133.1353777
679	133.0874982
680	132.9995282
681	132.8802977
682	132.8053507
683	132.7607683
684	132.7382027
685	132.6436678
686	132.5764453
687	132.5520901
688	132.4829234
689	132.4354148
690	132.3791764
691	132.3080122
692	132.2283508
693	132.1490446
694	132.0851287
695	131.9947677
696	131.9101927
697	131.8159775
698	131.7733702
699	131.7563703
700	131.7148726
701	131.6272386
702	131.5522323
703	131.4665013
704	131.3931995
705	131.2985748
706	131.2478024
707	131.2243975
708	131.1543957
709	131.1498274
710	131.096123
711	131.0538107
712	131.0050286
713	130.950446
714	130.9041879
715	130.8471805
716	130.7791754
717	130.7591487
718	130.686074
719	130.624353
720	130.5537823
721	130.5318988
722	130.5260443
723	130.503197
724	130.4535052
725	130.4086147
726	130.3147777
727	130.2559543
728	130.1908989
729	130.0879207
730	130.0370056
731	129.9987226
732	129.9670265
733	129.9270387
734	129.9230959
735	129.8427492
736	129.7513423
737	129.6490257
738	129.5993942
739	129.579595
740	129.5757005
741	129.5043859
742	129.4424984
743	129.3772292
744	129.3266233
745	129.2687276
746	129.2151079
747	129.1184841
748	129.0710908
749	128.9408659
750	128.9065108
751	128.83553
752	128.7894403
753	128.7430503
754	128.6986678
755	128.6806149
756	128.6002086
757	128.5350565
758	128.4845047
759	128.4583629
760	128.3696085
761	128.3039805
762	128.2138059
763	128.1750153
764	128.1121651
765	128.0492439
766	128.0187682
767	127.956264
768	127.9060813
769	127.8443333
770	127.7872412
771	127.7017913
772	127.6851557
773	127.6456396
774	127.598093
775	127.5348975
776	127.5111113
777	127.4991048
778	127.4878026
779	127.3972166
780	127.3236049
781	127.2688622
782	127.2054832
783	127.178846
784	127.1212242
785	127.061457
786	126.9758552
787	126.9606991
788	126.9306365
789	126.8888354
790	126.8721042
791	126.8173877
792	126.7510353
793	126.687682
794	126.6256772
795	126.5719933
796	126.4982869
797	126.4609728
798	126.3975974
799	126.3448685
800	126.3421563
801	126.3080038
802	126.2543504
803	126.2277651
804	126.152614
805	126.10942
806	126.045864
807	126.0203843
808	125.9859919
809	125.930544
810	125.8991464
811	125.8415387
812	125.809661
813	125.7499586
814	125.6956943
815	125.6894178
816	125.6768861
817	125.630323
818	125.5885392
819	125.5509098
820	125.5006746
821	125.4832018
822	125.4304495
823	125.3685668
824	125.3577934
825	125.2945565
826	125.2853326
827	125.2035146
828	125.1962033
829	125.1715365
830	125.1057464
831	125.0663364
832	125.0218147
833	125.0185491
834	124.9760087
835	124.9055144
836	124.8404769
837	124.8016337
838	124.7168146
839	124.6292424
840	124.5847808
841	124.5312757
842	124.4648533
843	124.4102053
844	124.3876146
845	124.3418667
846	124.2931852
847	124.2636503
848	124.2205568
849	124.1357606
850	124.0947173
851	124.0556756
852	124.0155714
853	124.010082
854	123.9596211
855	123.8595867
856	123.8035716
857	123.7691187
858	123.7156307
859	123.6760553
860	123.669697
861	123.6275014
862	123.6228896
863	123.5873957
864	123.5158435
865	123.4526946
866	123.3911054
867	123.33682
868	123.3026834
869	123.2685266
870	123.225968
871	123.179798
872	123.1648245
873	123.0966784
874	123.0528448
875	122.9974141
876	122.967137
877	122.8879712
878	122.8292349
879	122.7999962
880	122.7365947
881	122.6591402
882	122.6089486
883	122.5896865
884	122.5111882
885	122.4741959
886	122.4564213
887	122.4208203
888	122.3687095
889	122.3265515
890	122.3155948
891	122.2703814
892	122.2243775
893	122.1799157
894	122.1322513
895	122.0646857
896	121.9913638
897	121.8752544
898	121.8335671
899	121.7944818
900	121.7389688
901	121.6640702
902	121.6100143
903	121.5485115
904	121.4782576
905	121.4500804
906	121.3999052
907	121.3462038
908	121.3070377
909	121.2734639
910	121.1909366
911	121.1195413
912	121.0956994
913	121.0490858
914	120.9967802
915	120.9494109
916	120.9056772
917	120.8945258
918	120.891765
919	120.8354668
920	120.8291486
921	120.7835492
922	120.718483
923	120.688785
924	120.6316021
925	120.5648932
926	120.5192244
927	120.4769804
928	120.4513658
929	120.4044253
930	120.3833964
931	120.3556581
932	120.3165363
933	120.2639723
934	120.2012532
935	120.183035
936	120.1428171
937	120.0879451
938	120.0487294
939	120.0418619
940	119.9545524
941	119.9265493
942	119.895296
943	119.8522999
944	119.8048875
945	119.7572299
946	119.7282514
947	119.7164617
948	119.6655985
949	119.6113095
950	119.5755891
951	119.5453709
952	119.5096045
953	119.4542936
954	119.4007618
955	119.3656417
956	119.3025459
957	119.273685
958	119.2352981
959	119.1844719
960	119.1830641
961	119.1251224
962	119.0641234
963	119.0378373
964	119.0173981
965	118.9906973
966	118.8964574
967	118.853398
968	118.7896168
969	118.7695283
970	118.7347926
971	118.7116717
972	118.6784592
973	118.6041358
974	118.5651838
975	118.509961
976	118.4646738
977	118.4344127
978	118.3914547
979	118.363769
980	118.3527215
981	118.3196676
982	118.2554175
983	118.2056741
984	118.1614546
985	118.0678811
986	117.9872556
987	117.9442002
988	117.8788209
989	117.8284037
990	117.7815558
991	117.7323167
992	117.683136
993	117.6616834
994	117.583747
995	117.5305742
996	117.4787499
997	117.4246959
998	117.391422
999	117.363206
